home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Pittsburgh Penguins,Columbus Blue Jackets,Bryan Rust,0.5,1.591,Pinnacle,2.25,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.297995670088708
Colorado Avalanche,Pittsburgh Penguins,Nathan MacKinnon,1.5,1.82,Sportsbet,1.91,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.301075887463315
Seattle Kraken,Minnesota Wild,Kaapo Kakko,0.5,1.91,Sportsbet,1.82,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-7.301075887463315
Edmonton Oilers,Anaheim Ducks,Evan Bouchard,0.5,1.38,Sportsbet,2.87,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-7.306973690854934
Colorado Avalanche,Pittsburgh Penguins,Artturi Lehkonen,0.5,1.54,Sportsbet,2.36,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.307946290997136
Colorado Avalanche,Pittsburgh Penguins,Devon Toews,0.5,2.02,Sportsbet,1.73,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.308418703141983
Edmonton Oilers,Anaheim Ducks,Frank Vatrano,0.5,2.02,Sportsbet,1.73,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-7.308418703141983
Edmonton Oilers,Anaheim Ducks,Troy Terry,0.5,1.79,Sportsbet,1.94,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-7.412313540286819
Pittsburgh Penguins,Columbus Blue Jackets,Philip Tomasino,0.5,2.38,Pinnacle,1.529,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.4190303982940575
Colorado Avalanche,Pittsburgh Penguins,Bryan Rust,0.5,1.78,Sportsbet,1.95,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.461826562950158
Seattle Kraken,Minnesota Wild,Mats Zuccarello,0.5,1.78,Sportsbet,1.95,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-7.461826562950158
Pittsburgh Penguins,Columbus Blue Jackets,Zach Werenski,0.5,1.531,Pinnacle,2.37,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.510879241112645
Pittsburgh Penguins,Columbus Blue Jackets,Erik Karlsson,0.5,1.86,Bet365,1.86,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.526881720430101
Edmonton Oilers,Anaheim Ducks,Leon Draisaitl,1.5,1.83,Sportsbet,1.89,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-7.5548616532223
Pittsburgh Penguins,Columbus Blue Jackets,Rickard Rakell,0.5,1.555,Pinnacle,2.31,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.5987249620690145
Pittsburgh Penguins,Columbus Blue Jackets,Sidney Crosby,0.5,1.389,Pinnacle,2.8,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.7085261750488465
Pittsburgh Penguins,Columbus Blue Jackets,Yegor Chinakhov,0.5,2.5,Pinnacle,1.476,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.750677506775072
Pittsburgh Penguins,Columbus Blue Jackets,Rickard Rakell,0.5,1.555,Pinnacle,2.3,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.7869425415909355
Pittsburgh Penguins,Columbus Blue Jackets,Kent Johnson,0.5,1.769,Pinnacle,1.95,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.8111637749851415
Pittsburgh Penguins,Columbus Blue Jackets,Sidney Crosby,0.5,1.389,Pinnacle,2.78,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.96546348234588
Pittsburgh Penguins,Columbus Blue Jackets,Yegor Chinakhov,0.5,2.5,Pinnacle,1.47,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-8.027210884353742
Pittsburgh Penguins,Columbus Blue Jackets,Matt Grzelcyk,0.5,2.56,Pinnacle,1.448,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-8.123273480662974
Pittsburgh Penguins,Columbus Blue Jackets,Adam Fantilli,0.5,1.751,Pinnacle,1.95,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-8.392274011919953
Pittsburgh Penguins,Columbus Blue Jackets,Matt Grzelcyk,0.5,2.56,Pinnacle,1.44,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-8.506944444444443
Pittsburgh Penguins,Columbus Blue Jackets,Kirill Marchenko,0.5,1.719,Pinnacle,1.95,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-9.455407884727274
