market_name,home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,match,margin
Player Shots on Goal,Los Angeles Kings,Utah Hockey Club,Drew Doughty,1.5,1.85,Neds,1.892,Pinnacle,Los Angeles Kings v Utah Hockey Club,-6.908176675618538
Player Shots on Goal,Ottawa Senators,Montreal Canadiens,Juraj Slafkovsky,1.5,1.97,Pinnacle,1.781,Pinnacle,Ottawa Senators v Montreal Canadiens,-6.909652650510045
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Filip Forsberg,3.5,2,Bet365,1.757,Pinnacle,Nashville Predators v Colorado Avalanche,-6.915196357427433
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Scott Laughton,1.5,1.757,Pinnacle,2,Neds,Philadelphia Flyers v Edmonton Oilers,-6.915196357427433
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,William Nylander,2.5,1.757,Pinnacle,2,Bet365,Toronto Maple Leafs v Carolina Hurricanes,-6.915196357427433
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Dylan Strome,1.5,1.68,Bet365,2.11,Pinnacle,Pittsburgh Penguins v Washington Capitals,-6.917174452719488
Player Shots on Goal,Boston Bruins,Anaheim Ducks,David Pastrnak,4.5,2.11,Pinnacle,1.68,Bet365,Boston Bruins v Anaheim Ducks,-6.917174452719488
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Connor Bedard,2.5,1.925,Pinnacle,1.819,Pinnacle,Columbus Blue Jackets v Chicago Blackhawks,-6.923313080542326
Player Shots on Goal,New Jersey Devils,Dallas Stars,Stefan Noesen,1.5,1.819,Pinnacle,1.925,Pinnacle,New Jersey Devils v Dallas Stars,-6.923313080542326
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Marco Rossi,1.5,1.826,Pinnacle,1.917,Pinnacle,Detroit Red Wings v Minnesota Wild,-6.929353493073176
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Connor McMichael,1.5,1.909,Pinnacle,1.833,Pinnacle,Pittsburgh Penguins v Washington Capitals,-6.938820535111345
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Sidney Crosby,2.5,1.833,Pinnacle,1.909,Pinnacle,Pittsburgh Penguins v Washington Capitals,-6.938820535111345
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Auston Matthews,3.5,1.909,Pinnacle,1.833,Pinnacle,Toronto Maple Leafs v Carolina Hurricanes,-6.938820535111345
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Morgan Geekie,2.5,2.43,Pinnacle,1.52,Bet365,Boston Bruins v Anaheim Ducks,-6.941737058696118
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Robert Thomas,2.5,2.43,Pinnacle,1.52,Bet365,St. Louis Blues v Winnipeg Jets,-6.941737058696118
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,John Carlson,1.5,1.6,Bet365,2.25,Pinnacle,Pittsburgh Penguins v Washington Capitals,-6.944444444444442
Player Shots on Goal,Buffalo Sabres,New York Rangers,JJ Peterka,2.5,2.25,Pinnacle,1.6,Bet365,Buffalo Sabres v New York Rangers,-6.944444444444442
Player Shots on Goal,Ottawa Senators,Montreal Canadiens,Drake Batherson,2.5,2.25,Pinnacle,1.6,Bet365,Ottawa Senators v Montreal Canadiens,-6.944444444444442
Player Shots on Goal,New Jersey Devils,Dallas Stars,Jack Hughes,3.5,2.05,Pinnacle,1.719,Pinnacle,New Jersey Devils v Dallas Stars,-6.953844407554022
Player Shots on Goal,New Jersey Devils,Dallas Stars,Matt Duchene,1.5,1.719,Pinnacle,2.05,Pinnacle,New Jersey Devils v Dallas Stars,-6.953844407554022
Player Shots on Goal,New Jersey Devils,Dallas Stars,Wyatt Johnston,2.5,1.961,Pinnacle,1.787,Pinnacle,New Jersey Devils v Dallas Stars,-6.954099626545274
Player Shots on Goal,New Jersey Devils,Dallas Stars,Roope Hintz,1.5,1.58,Bet365,2.29,Pinnacle,New Jersey Devils v Dallas Stars,-6.959261511248682
