home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Florida Panthers,New York Islanders,Brock Nelson,0.5,2.73,Sportsbet,1.423,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-6.904105498624125
Seattle Kraken,Calgary Flames,Shane Wright,0.5,3.27,Pinnacle,1.31,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.916917617947105
Florida Panthers,New York Islanders,Gustav Forsling,0.5,3.4,Bet365,1.29,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.931144550843582
Seattle Kraken,Calgary Flames,Rasmus Andersson,0.5,3.4,Bet365,1.29,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.931144550843582
Florida Panthers,New York Islanders,Evan Rodrigues,0.5,3.9,Bet365,1.23,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.941838649155718
UTA Hockey Club,St. Louis Blues,Jake Neighbours,0.5,3.9,Bet365,1.23,Bet365,Player Assists,UTA Hockey Club v St. Louis Blues,-6.941838649155718
Vancouver Canucks,Detroit Red Wings,Vladimir Tarasenko,0.5,3.9,Bet365,1.23,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.941838649155718
Dallas Stars,Columbus Blue Jackets,Adam Fantilli,0.5,2.9,Bet365,1.38,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.946526736631697
Florida Panthers,New York Islanders,Sam Bennett,0.5,2.9,Bet365,1.38,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.946526736631697
Florida Panthers,New York Islanders,Tony DeAngelo,0.5,2.9,Bet365,1.38,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.946526736631697
Seattle Kraken,Calgary Flames,Oliver Bjorkstrand,0.5,2.9,Bet365,1.38,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.946526736631697
Florida Panthers,New York Islanders,Brock Nelson,0.5,2.6,Neds,1.46,Neds,Player Assists,Florida Panthers v New York Islanders,-6.954689146469972
Seattle Kraken,Calgary Flames,Matthew Beniers,0.5,2.7,Bet365,1.43,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.967106967106984
Dallas Stars,Columbus Blue Jackets,Cole Sillinger,0.5,4,Bet365,1.22,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.9672131147541005
Dallas Stars,Columbus Blue Jackets,Thomas Harley,0.5,2.4,Bet365,1.531,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.983453080775104
Florida Panthers,New York Islanders,Mathew Barzal,0.5,2.31,Pinnacle,1.57,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.984310805966842
Florida Panthers,New York Islanders,Aaron Ekblad,0.5,2.31,Sportsbet,1.57,Bet365,Player Assists,Florida Panthers v New York Islanders,-6.984310805966842
Seattle Kraken,Calgary Flames,Jared McCann,0.5,2.63,Pinnacle,1.45,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-6.988330929592257
